state,year,govelec,black,metro,unem,criv,crip,lcriv,lcrip,gcriv,gcrip,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,gincpc,gpolpc,cag0_14,cag15_17,cag18_24,cag25_34,cunem,cblack,cmetro,pris,lpris,gpris,final1,final2
1,80,0,.25600001,.63200003,.087750003,4.4478683,44.476376,1.492425,3.7949581,.098785758,.17478514,0,0,0,0,0,0,0,0,0,0,0,0,0,.24088341,.057524394,.13225475,.1538264,7673.1763,235.00256,.089634478,.054186985,-.0012273026,-.001192627,.000076789853,.0019898796,.016750002,-.059999466,.00020000458,141.33472,4.9511309,-.020659447,0,0
1,81,0,.25569999,.63620001,.10667,4.7009439,44.248787,1.5477633,3.7898281,.055338383,-.0051300526,1,0,0,0,0,0,0,0,0,0,0,0,0,.2367951,.054605767,.13243175,.15845878,8442.7227,227.22633,.0955742,-.033649836,-.0040883063,-.0029186297,.00017699241,.0046323873,.018919993,-.030000687,.0041999817,163.53365,5.0970187,.14588785,0,0
1,82,1,.2554,.64039999,.14366999,4.4975796,42.050446,1.5035393,3.7388699,-.044224024,-.050958157,0,1,0,0,0,0,0,0,0,0,0,0,0,.23363058,.05197452,.13171974,.15847133,8855.8076,219.43948,.047768626,-.034870092,-.0031645203,-.0026312447,-.00071200373,.000012550354,.036999997,-.029998779,.0042000199,183.69481,5.2132759,.11625719,0,0
1,83,0,.25510001,.64459997,.13666999,4.1868329,37.084393,1.4319446,3.6131961,-.071594715,-.12567377,0,0,1,0,0,0,0,0,0,0,0,0,0,.23131672,.049567871,.13040163,.15963396,9411.0273,222.59785,.060808651,.014290308,-.0023138619,-.0024066495,-.0013181114,.0011626243,-.0069999979,-.030000687,.0041999817,218.62421,5.3873544,.17407846,0,0
1,84,0,.25479999,.64879996,.11166999,4.3532391,35.042255,1.4709202,3.5565546,.038975596,-.056641579,0,0,0,1,0,0,0,0,0,0,0,0,0,.22798581,.048582997,.1277834,.16093117,10267.68,214.39777,.087118946,-.03753379,-.0033308982,-.00098487374,-.0026182269,.0012972069,-.025,-.030000687,.0041999817,245.06862,5.5015383,.1141839,0,0
1,85,0,.2545,.65300006,.089079998,4.6307578,35.2668,1.5327206,3.562942,.061800361,.0063874722,0,0,0,0,1,0,0,0,0,0,0,0,0,.22527057,.0488296,.12408759,.16259754,10974.39,220.53864,.066563278,.028239885,-.0027152442,.00024660109,-.0036958123,.0016663742,-.022589998,-.029998779,.0042000581,259.26114,5.5578356,.056297302,0,0
1,86,1,.25420001,.65720004,.098329999,5.6653309,37.873497,1.7343653,3.6342516,.20164478,.071309566,0,0,0,0,0,1,0,0,0,0,0,0,0,.22244489,.050100204,.11973947,.16382764,11666.695,226.80362,.061173882,.028011635,-.0028256797,.0012706041,-.004348116,.0012301063,.009250002,-.030000687,.0041999817,270.55124,5.6004615,.042625904,0,0
1,87,0,.25389999,.66140002,.077749997,5.686924,39.58107,1.7381696,3.6783509,.0038042068,.044099331,0,0,0,0,0,0,1,0,0,0,0,0,0,.22042342,.050062265,.11606476,.16438356,12289.268,241.17062,.051988099,.061420135,-.0020214843,-.000037937163,-.0036747169,.00055591582,-.020580005,-.030000687,.0041999817,288.17633,5.6635728,.063111305,0,0
1,88,0,.2536,.6656,.072080001,5.7286282,41.055916,1.7454761,3.7149348,.0073065758,.0365839,0,0,0,0,0,0,0,1,0,0,0,0,0,.21968192,.048707753,.11356859,.16351889,13052.042,256.26242,.060218271,.060697336,-.00074150087,-.0013545132,-.0024961662,-.00086467742,-.0056699943,-.029998779,.0041999817,313.87299,5.7489886,.08541584,0,0
1,89,0,.25330001,.66980004,.070249997,6.0369725,41.251614,1.7979027,3.7196903,.052426577,.004755497,0,0,0,0,0,0,0,0,1,0,0,0,0,.21910669,.046401989,.11166253,.16203474,13967.873,268.88336,.067815311,.048075687,-.00057521818,-.0023057652,-.0019060612,-.0014841461,-.0018300057,-.030000687,.0042000581,307.08252,5.7271166,-.021872044,0,0
1,90,1,.25299999,.67400002,.067749999,7.0691357,41.968887,1.9557382,3.7369285,.15783548,.01723814,0,0,0,0,0,0,0,0,0,1,0,0,0,.2182716,.044938274,.10987654,.15975308,14896.788,280.49384,.064385712,.042274062,-.00083509443,-.0014637136,-.001785984,-.0022816563,-.0024999953,-.030000687,.0041999817,336.84863,5.8196335,.092516899,0,0
1,91,0,.2527,.67820001,.071999997,8.4396086,45.203423,2.132936,3.8111727,.17719781,.074244261,0,0,0,0,0,0,0,0,0,0,1,0,0,.21760391,.044254281,.10929095,.1574572,15600.99,288.97311,.046188764,.029781904,-.00066768646,-.00068399427,-.00058559416,-.0022958755,.004249997,-.029998779,.0041999817,379.38269,5.9385452,.11891174,0,0
1,92,0,.25240001,.68239999,.072999999,8.7124214,43.943211,2.1647499,3.7828982,.03181386,-.028274536,0,0,0,0,0,0,0,0,0,0,0,1,0,.21532141,.043982603,.10874819,.15466408,16494.385,290.04349,.055685617,.003697216,-.0022825049,-.00027167797,-.00054276467,-.0027931214,.000999999,-.030000687,.0041999817,400.978,5.9939065,.055361271,0,0
1,93,0,.25209999,.68660003,.075000003,7.8041558,40.983521,2.0546565,3.7131701,-.11009336,-.069728136,0,0,0,0,0,0,0,0,0,0,0,0,1,.21351802,.043706711,.10843085,.1523764,17105.346,296.84738,.036371022,.02318727,-.001803379,-.00027588845,-.00031733513,-.0022876835,.0020000075,-.030000687,.0042000581,409.32819,6.0145173,.020610809,0,0
2,80,0,.034000002,.43400002,.095919997,4.773632,57.039803,1.5631075,4.0437493,-.035853863,-.0089197159,0,0,0,0,0,0,0,0,0,0,0,0,0,.2686567,.054726366,.14925373,.22636816,13784.794,315.92041,.11593349,-.10066889,-.0092589185,-.0048269844,.0053331377,.010487271,.0026700019,.0400002,.0015999984,132.00992,4.8828769,.087188244,0,0
2,81,0,.034699999,.43169999,.092330001,6.0693779,58.933014,1.8032562,4.0764012,.24014866,.032651901,1,0,0,0,0,0,0,0,0,0,0,0,0,.26794258,.052631579,.13875598,.23444977,15385.251,305.98087,.10984322,-.031967748,-.00071413041,-.0020947885,-.010497752,.0080816075,-.003590002,.069999933,-.0023000336,142.03979,4.9561071,.073230267,0,0
2,82,1,.035399999,.4294,.099830002,6.0711112,54.397778,1.8035417,3.9963233,.00028550625,-.080077887,0,1,0,0,0,0,0,0,0,0,0,0,0,.26444444,.048888888,.1311111,.23555556,17119.225,280,.10679276,-.088732965,-.0034981347,-.0037426902,-.0076448726,.0011057854,.0074999998,.069999933,-.0022999954,170.57416,5.1391702,.18306303,0,0
